,TSLL,TSLW,MSH,MSW,MSPL,MSPD,FNL,MSPW,PGW,HKW,MSSN,SGN
0,37.77,3.03,115.8,6.07,24.57,33.4,29.77,28.81,23.34,0.32,90.33,140.67
1,64.6,4.07,155.5,6.43,29.33,31.3,33.57,38.97,29.01,0.29,153.33,99.33
3,45.63,3.23,151.8,8.5,29.53,31.57,42.7,23.65,20.27,0.32,95.0,93.33
4,43.33,3.53,125.53,6.67,27.27,33.4,32.97,30.93,26.39,0.33,131.33,133.0
6,56.7,2.13,113.37,3.87,25.47,17.37,27.33,5.99,5.03,0.26,117.0,24.0
8,39.13,2.17,141.53,3.9,16.77,22.4,40.17,4.72,3.45,0.25,105.67,25.33
9,35.27,2.4,107.1,4.93,21.43,26.53,34.0,15.13,12.29,0.23,66.0,96.67
11,45.5,2.93,146.0,6.63,31.83,24.37,34.47,26.41,22.68,0.32,101.67,105.0
12,49.9,1.87,116.93,3.8,19.6,16.77,24.17,6.53,5.23,0.24,94.67,38.67
13,36.6,2.97,122.33,6.13,28.6,30.17,29.03,29.63,22.71,0.26,93.0,116.33
14,32.43,3.03,86.07,4.63,20.2,27.37,21.17,17.97,15.22,0.29,77.0,90.33
15,36.7,2.77,119.67,6.33,18.93,28.43,37.1,26.99,21.4,0.3,106.33,119.33
16,34.9,2.83,105.5,7.0,26.3,47.73,38.73,29.36,23.79,0.3,84.33,92.0
17,34.87,2.63,114.07,5.53,22.87,31.23,20.0,25.93,21.21,0.35,101.0,119.33
18,39.0,2.97,116.47,8.2,25.2,28.1,28.83,29.57,22.35,0.37,93.0,103.67
19,42.23,2.9,109.43,5.9,23.3,22.87,32.83,19.5,16.61,0.31,86.0,95.67
20,42.4,2.63,95.87,4.27,24.3,24.27,43.37,13.7,10.87,0.36,98.67,54.67
21,39.57,2.87,106.7,6.77,28.4,24.27,34.43,27.26,22.41,0.41,110.67,75.67
22,38.83,2.67,119.53,4.93,24.5,28.0,45.73,24.16,20.9,0.39,81.67,113.0
24,37.9,2.93,127.73,6.67,25.27,25.4,37.03,26.45,22.24,0.35,115.0,101.0
25,37.93,2.5,99.67,6.13,26.67,22.83,37.8,20.2,17.09,0.4,100.67,63.67
26,31.1,2.57,107.13,5.5,19.77,24.73,29.8,12.83,10.09,0.33,72.67,76.0
27,31.17,2.27,121.1,6.57,21.23,23.2,39.67,13.79,11.17,0.31,68.33,104.33
28,40.2,2.87,118.63,7.2,25.1,32.2,44.13,24.97,20.59,0.41,73.67,88.0
32,40.3,2.93,114.17,6.17,26.9,27.67,41.3,26.82,20.79,0.36,71.33,123.33
34,40.93,2.87,99.13,5.63,22.73,25.67,37.3,26.54,21.75,0.44,78.0,106.67
35,43.4,3.17,107.87,7.0,30.97,26.8,39.03,17.19,14.73,0.38,65.67,77.0
36,42.97,2.5,122.3,7.57,26.17,29.77,22.93,22.66,18.89,0.35,100.67,98.67
37,41.33,3.07,105.47,6.4,22.87,20.57,38.2,22.54,18.52,0.31,81.0,100.33
38,34.6,2.57,118.67,7.67,17.67,30.3,35.2,20.55,16.85,0.33,97.33,81.33
40,37.8,2.77,117.63,6.0,25.17,24.5,31.93,15.99,12.67,0.35,88.0,45.33
41,35.8,2.53,125.63,8.43,22.13,21.2,33.33,23.35,18.87,0.33,100.0,77.67
42,31.6,2.6,122.83,7.67,19.83,31.37,26.2,12.28,10.31,0.31,66.0,85.0
43,43.93,2.67,130.57,6.87,25.9,29.03,34.43,31.82,26.79,0.36,75.33,164.0
44,41.97,2.93,117.07,5.23,25.1,21.53,49.4,28.29,24.26,0.3,105.67,135.33
45,41.73,2.87,122.53,8.1,23.07,27.1,31.53,16.67,14.04,0.39,83.0,91.0
46,45.17,3.13,135.47,7.53,21.2,30.07,29.4,17.6,14.09,0.34,80.0,78.0
47,46.23,3.3,105.07,6.93,26.43,37.07,34.73,20.22,17.54,0.32,77.0,126.0
48,41.3,2.8,135.17,7.77,31.0,24.43,36.93,13.99,11.56,0.34,93.67,75.0
50,43.1,2.87,132.6,7.1,21.93,27.0,31.6,19.76,17.02,0.35,78.33,117.33
51,37.23,3.07,135.57,6.97,22.53,39.93,29.63,30.36,24.99,0.3,76.0,104.0
52,48.53,3.47,131.1,7.1,29.07,39.16,40.7,16.99,13.55,0.4,61.0,109.0
53,32.67,3.0,113.2,4.97,21.87,26.5,34.67,8.37,6.82,0.32,75.5,66.5
55,47.07,3.13,116.93,6.77,22.9,33.87,37.7,21.54,17.89,0.34,64.67,112.33
56,41.37,3.13,125.1,5.73,27.33,25.4,41.33,18.01,14.61,0.38,77.67,82.67
57,41.27,3.13,123.5,7.93,31.7,29.57,42.17,29.24,23.68,0.31,103.67,127.0
58,39.3,3.07,120.5,5.23,21.3,38.0,36.67,24.27,20.74,0.3,76.0,128.0
59,41.83,2.87,114.03,5.4,23.67,28.73,42.9,15.48,12.74,0.38,76.0,68.0
60,43.57,3.3,124.4,5.77,24.23,29.67,43.2,27.94,27.17,0.4,93.0,137.67
61,41.93,3.6,121.33,5.73,30.53,39.13,24.3,42.31,36.07,0.35,94.67,121.67
62,42.67,3.13,138.67,5.83,26.63,29.13,48.37,21.37,17.61,0.38,79.0,95.33
64,41.03,2.87,139.3,7.6,26.83,31.33,46.8,28.73,21.8,0.35,74.67,137.33
68,36.97,2.7,115.77,6.53,28.93,34.97,33.37,26.98,22.38,0.34,105.0,103.33
69,36.8,2.83,117.5,5.27,19.6,38.17,31.47,28.64,24.91,0.36,73.0,137.33
70,43.37,2.77,104.47,6.43,22.33,40.13,39.7,17.97,15.37,0.39,88.67,98.67
71,38.03,2.2,104.83,5.27,22.93,26.7,41.23,12.84,11.27,0.38,72.33,85.33
73,40.83,2.7,111.03,5.37,22.9,33.27,42.57,18.26,13.75,0.37,83.33,83.67
74,34.8,2.67,105.73,5.47,20.63,28.23,41.17,19.24,16.85,0.36,77.33,90.67
75,29.6,2.3,125.73,6.77,22.53,31.8,36.9,30.19,25.72,0.29,107.67,104.67
79,41.17,2.5,114.5,6.47,21.6,28.03,34.37,18.52,14.89,0.25,79.0,92.67
80,39.1,2.3,105.17,3.8,16.1,21.1,32.23,18.77,15.99,0.32,83.33,135.0
82,38.37,2.6,106.57,4.3,18.23,19.3,25.67,17.55,13.15,0.27,75.0,92.67
83,37.27,2.57,115.53,3.93,16.47,19.67,31.47,14.14,11.02,0.27,82.33,66.67
85,39.23,2.63,107.93,0.6,24.43,2.07,39.8,15.33,12.23,0.33,95.0,71.67
87,44.67,2.5,109.33,5.27,17.9,27.97,30.43,10.66,8.62,0.23,99.0,68.33
88,36.77,2.27,152.27,7.4,14.53,29.9,25.27,12.06,8.61,0.19,68.33,104.0
89,46.97,2.8,118.03,5.43,21.8,31.13,33.03,19.14,15.07,0.23,81.0,96.67
90,41.23,2.97,129.47,6.93,17.1,27.03,33.4,21.32,17.21,0.3,92.67,109.33
91,50.83,3.17,124.7,5.4,24.37,26.07,33.0,27.41,23.54,0.34,71.67,121.33
92,44.9,2.73,120.63,7.23,24.57,27.9,33.97,19.58,16.59,0.31,89.33,112.33
93,40.23,2.5,114.1,0.5,20.47,2.43,26.97,13.61,11.15,0.28,77.0,83.67
94,52.8,3.43,127.6,6.77,26.07,29.33,31.43,27.56,22.69,0.25,70.0,192.0
95,44.77,3.13,96.53,5.0,21.6,27.37,31.0,17.02,14.22,0.29,68.33,119.0
98,53.6,2.65,101.5,0.67,28.43,2.37,33.2,11.51,8.61,0.36,88.33,57.67
99,50.9,3.23,119.57,5.43,23.77,26.13,35.07,17.27,14.77,0.28,70.33,127.33
100,49.8,2.87,119.47,5.93,23.93,25.37,36.67,15.69,11.76,0.26,74.33,80.33
102,45.33,2.77,128.47,6.53,26.03,25.0,33.07,15.5,12.36,0.24,82.0,78.33
103,39.67,2.73,99.13,0.53,18.2,2.6,27.7,7.34,5.17,0.23,69.0,57.67
104,38.17,2.97,114.07,6.1,17.23,26.1,28.03,12.3,10.24,0.3,76.0,77.0
105,36.43,2.23,82.27,3.57,18.7,22.07,31.97,6.08,3.66,0.25,73.0,35.33
106,37.3,2.57,85.7,4.97,18.5,23.23,27.33,13.74,10.7,0.25,77.33,81.0
107,42.23,2.8,84.73,5.07,18.83,27.2,32.13,12.32,9.99,0.36,61.33,78.0
108,41.63,2.8,106.07,4.3,16.7,18.83,30.93,12.61,10.43,0.27,85.33,63.67
111,43.0,2.6,110.27,4.7,23.23,19.3,42.6,12.86,10.52,0.29,82.33,78.0
112,46.17,2.97,118.23,6.4,24.87,27.87,28.83,14.56,12.33,0.33,56.0,91.67
113,51.73,2.97,94.23,0.53,25.77,2.8,29.27,8.94,5.37,0.3,71.33,88.33
114,39.37,2.23,95.8,5.47,18.87,23.53,26.43,15.41,12.56,0.29,64.67,128.0
115,48.93,2.87,95.9,3.93,23.73,23.4,29.7,15.19,11.6,0.26,76.67,106.67
116,39.17,2.53,98.27,4.57,19.43,23.77,30.6,15.64,11.54,0.27,82.0,88.33
117,41.17,2.8,109.33,4.33,19.93,22.93,24.93,12.3,9.98,0.28,76.0,83.67
119,35.5,2.8,109.83,6.4,24.9,23.47,33.9,14.17,12.04,0.26,75.0,110.67
121,56.73,3.07,91.13,4.77,30.57,26.9,37.43,17.81,14.72,0.35,115.67,69.33
122,23.2,2.23,91.43,0.4,14.43,1.9,30.1,8.57,6.66,0.22,70.33,97.33
123,69.7,3.33,142.8,7.3,38.53,28.8,51.07,18.84,13.28,0.31,118.0,104.0
124,59.87,3.37,119.3,6.3,28.33,27.23,40.47,13.0,9.19,0.29,87.67,77.0
125,60.87,3.03,113.97,6.27,33.4,27.77,37.33,20.93,13.46,0.32,127.67,78.67
126,67.93,2.87,135.67,6.8,48.27,25.0,47.8,22.54,17.06,0.32,122.0,94.33
127,64.0,2.77,144.2,6.83,45.37,25.67,40.2,13.41,8.7,0.27,161.67,57.33
128,60.0,2.63,127.8,7.3,23.47,30.87,37.77,16.35,10.98,0.26,98.67,35.33
129,63.43,2.9,137.2,7.03,40.17,33.6,32.37,19.37,13.66,0.31,129.0,68.0
130,47.63,2.9,109.3,0.63,21.93,2.8,26.87,9.7,5.5,0.31,80.0,52.0
131,55.47,2.63,138.1,7.17,39.0,20.93,42.83,19.25,11.07,0.31,112.67,79.67
132,54.83,3.17,151.83,6.53,33.23,24.53,36.17,19.31,15.14,0.32,113.67,51.33
133,59.77,3.3,145.27,7.27,36.37,26.1,43.77,20.97,15.93,0.37,147.67,62.0
134,47.73,2.27,99.23,5.2,24.77,24.43,24.93,15.61,11.52,0.25,94.67,78.0
135,66.67,3.5,121.57,6.57,35.47,42.63,27.97,16.64,10.84,0.32,146.0,45.0
136,43.83,1.73,116.43,4.03,25.97,15.1,34.53,26.28,20.24,0.31,101.67,116.0
138,57.37,2.53,127.47,6.17,33.3,23.97,42.23,20.39,16.98,0.35,110.67,84.33
140,57.73,3.0,129.13,6.6,38.57,27.83,34.33,17.7,12.54,0.3,128.67,59.0
141,56.03,2.47,117.97,5.0,29.77,21.1,38.8,13.37,10.28,0.34,92.0,43.33
142,47.7,1.87,100.9,3.27,22.27,20.43,30.47,7.68,5.58,0.25,118.0,29.67
143,53.77,3.0,116.6,6.3,28.1,24.43,34.73,17.83,14.87,0.3,111.33,79.33
144,44.23,2.47,90.67,4.67,26.6,25.57,33.5,9.92,7.36,0.28,83.33,51.33
145,34.3,2.57,86.33,3.53,17.37,16.6,35.67,7.65,6.48,0.32,67.0,49.0
146,38.63,2.53,106.27,4.53,22.5,18.23,41.77,13.23,11.41,0.34,106.67,73.0
147,31.03,2.5,90.2,3.53,18.1,16.87,37.07,6.16,5.04,0.32,77.33,32.67
148,31.9,2.57,76.4,4.23,17.1,16.77,26.4,9.52,8.3,0.32,78.67,65.67
149,31.97,2.27,93.73,3.07,19.33,14.4,39.1,6.87,5.11,0.26,71.0,50.67
150,32.33,2.3,102.97,3.97,22.4,15.8,37.5,5.97,4.26,0.33,88.0,32.33
151,28.4,1.9,99.77,3.67,20.37,16.43,42.53,5.49,4.37,0.3,73.0,36.67
152,34.87,2.5,103.13,3.63,20.7,18.13,41.2,7.32,5.75,0.3,77.67,45.33
153,47.53,2.57,96.93,3.8,23.8,18.4,38.93,10.75,8.39,0.36,86.33,39.33
154,41.17,2.3,88.4,3.6,19.63,19.6,32.6,8.28,6.54,0.35,84.67,45.0
156,44.67,2.73,88.53,4.93,23.93,17.4,39.7,13.03,10.67,0.38,94.0,46.67
157,44.27,2.94,93.73,4.9,22.87,22.47,34.73,12.24,10.82,0.26,77.67,111.0
158,41.0,2.33,74.27,3.87,20.17,22.93,22.4,6.58,5.11,0.28,73.5,81.0
159,34.9,2.5,102.47,4.83,20.9,17.3,42.1,13.49,11.24,0.27,88.33,150.33
160,29.6,2.43,85.83,3.6,19.93,19.0,44.87,7.01,5.56,0.35,65.33,43.67
161,32.57,2.07,96.67,3.8,23.57,17.6,44.33,8.78,7.06,0.37,93.67,30.0
162,53.37,3.1,122.07,0.73,32.8,2.57,28.93,16.46,13.15,0.29,68.67,115.33
163,54.43,2.97,96.83,4.97,32.53,23.17,49.63,18.18,14.61,0.32,93.0,90.0
164,58.17,2.8,97.17,4.57,33.3,21.57,36.7,15.07,12.61,0.33,112.67,64.0
165,62.5,2.5,114.87,5.17,41.33,18.37,41.73,16.19,12.15,0.31,125.67,50.33
166,62.87,3.23,134.47,6.6,35.53,25.13,29.1,14.94,8.31,0.14,111.67,83.67
167,61.2,3.07,134.47,7.57,31.9,33.47,28.7,12.83,8.95,0.28,93.67,95.0
169,41.63,2.67,107.2,0.6,22.53,2.6,24.53,7.45,6.31,0.36,83.67,50.67
170,68.53,2.93,129.57,5.53,40.1,29.63,45.33,13.67,7.92,0.33,108.0,34.0
171,33.3,2.47,88.27,3.8,17.73,20.33,29.53,8.52,7.29,0.25,101.0,54.0
172,51.2,2.8,96.27,5.0,25.93,19.6,42.77,17.62,13.8,0.31,87.0,108.67
173,48.27,2.93,108.17,4.93,30.33,27.9,29.53,21.12,16.97,0.31,97.67,75.33
175,54.43,2.7,113.63,5.73,32.63,26.27,33.7,19.25,13.23,0.33,113.33,84.0
176,63.9,2.93,121.2,5.6,29.47,24.77,41.2,16.08,13.1,0.36,87.33,82.0
177,57.33,3.0,141.6,6.03,33.13,33.2,32.27,19.1,15.73,0.34,95.67,96.0
178,61.83,3.6,125.8,6.17,27.93,34.17,39.67,18.12,15.16,0.31,86.67,97.67
179,60.17,3.03,128.93,4.93,29.97,26.47,48.3,20.66,15.88,0.33,142.33,62.33
180,56.5,2.83,119.03,5.4,33.6,25.0,49.2,17.36,13.21,0.38,126.67,39.33
181,54.57,2.73,98.0,5.37,35.13,26.3,30.63,20.65,14.59,0.35,107.67,77.33
182,54.57,3.3,112.87,5.5,29.83,33.77,40.63,18.57,14.05,0.22,102.0,113.33
183,53.87,2.73,94.3,4.77,32.43,27.5,33.97,16.79,13.56,0.32,86.33,75.67
184,40.37,2.6,91.1,3.53,23.63,21.57,38.23,8.06,5.61,0.32,79.0,53.33
185,49.0,2.97,110.8,6.4,28.43,32.73,40.97,12.99,9.7,0.27,85.0,94.67
186,59.57,3.1,91.4,4.33,27.1,32.2,38.77,15.84,11.59,0.3,85.33,97.67
187,45.53,3.13,102.47,0.43,24.8,2.0,33.17,13.12,10.53,0.34,77.0,56.33
188,49.47,2.97,113.17,6.17,23.63,28.0,26.33,7.36,5.91,0.27,79.0,56.0
189,58.3,2.7,111.6,5.7,37.67,30.0,34.07,17.72,13.05,0.35,104.33,78.33
190,49.47,2.63,102.57,4.87,24.6,22.8,42.6,11.85,9.78,0.31,91.67,65.67
191,53.07,2.63,96.63,5.07,31.93,27.3,26.17,14.1,11.47,0.16,88.67,106.33
193,59.2,2.37,115.3,6.17,27.87,27.3,49.77,13.24,9.7,0.32,75.0,73.67
194,55.47,2.87,85.5,5.93,28.3,25.0,31.17,19.09,15.31,0.36,90.0,105.33
195,43.57,2.3,105.03,3.9,22.63,20.0,37.8,16.15,13.28,0.31,94.67,92.67
197,45.4,2.97,110.3,0.53,24.17,2.57,35.77,15.91,11.96,0.31,73.0,109.67
200,33.27,2.5,88.7,3.43,15.57,16.9,47.23,9.64,8.23,0.3,110.0,56.33
201,57.53,2.87,98.93,5.13,30.4,27.27,41.7,20.59,18.03,0.27,105.0,133.0
202,27.23,1.93,77.27,3.33,13.7,21.33,40.37,6.05,4.29,0.38,98.0,22.0
203,47.03,2.5,114.83,5.07,23.3,31.93,43.3,9.01,8.1,0.22,103.67,52.67
205,55.37,2.73,114.23,5.13,30.77,38.67,36.43,20.63,15.05,0.3,115.67,93.0
206,42.03,2.13,76.07,4.43,21.0,25.3,36.87,5.74,3.61,0.27,78.0,21.67
207,51.6,2.33,104.43,4.27,26.33,25.1,35.77,16.1,11.96,0.33,78.33,82.33
208,48.77,2.67,94.17,4.87,26.1,32.47,42.5,16.66,13.14,0.31,82.0,103.0
212,41.2,2.47,87.07,4.6,25.67,21.2,47.83,9.72,11.75,0.29,90.33,61.0
214,37.1,2.27,89.67,3.4,26.8,18.5,43.87,8.46,6.67,0.22,106.0,67.0
216,49.67,3.37,111.07,0.43,26.6,1.87,32.37,19.82,15.07,0.31,93.33,106.0
217,32.1,1.87,90.47,3.33,13.83,15.9,43.57,4.51,3.64,0.31,50.67,33.67
219,54.3,3.03,110.67,5.67,29.67,29.03,49.3,19.02,14.5,0.33,93.0,129.0
220,41.1,2.5,106.57,4.33,26.3,21.07,42.67,9.22,5.87,0.23,87.67,62.0
221,62.4,2.97,90.57,5.8,39.97,24.13,41.93,12.38,10.34,0.34,86.33,83.67
222,51.77,2.67,101.57,4.0,25.9,21.83,41.23,13.17,10.82,0.31,106.67,69.67
223,28.0,2.1,94.1,0.45,14.9,2.05,33.2,4.93,3.52,0.31,54.67,49.0
224,43.23,3.0,92.6,5.9,19.77,27.5,32.17,21.47,18.29,0.31,80.67,117.67
225,45.37,3.03,103.53,5.53,22.43,27.07,34.27,9.27,7.16,0.26,44.0,95.33
226,45.6,2.63,85.63,4.53,20.63,26.6,27.7,14.65,13.17,0.33,94.67,73.67
228,38.33,2.73,112.63,5.9,18.23,26.5,29.13,21.59,18.46,0.32,96.0,140.67
229,55.27,2.6,89.9,0.5,28.23,2.57,26.47,13.58,9.17,0.31,101.67,63.0
230,51.73,2.53,112.03,5.17,22.53,28.83,33.8,14.64,12.29,0.26,75.33,110.67
232,46.53,3.0,114.33,5.1,26.33,25.33,27.53,15.33,12.28,0.24,94.67,111.67
233,48.6,2.63,105.73,4.63,29.93,27.97,33.13,15.64,12.78,0.31,102.0,66.67
234,43.7,2.47,103.7,4.3,19.43,30.03,35.57,15.67,13.49,0.27,78.0,110.33
235,44.47,2.73,81.63,4.57,17.63,30.07,26.47,11.36,9.59,0.21,59.33,113.67
236,48.73,2.3,108.27,4.6,20.7,27.83,28.47,10.85,9.32,0.27,80.67,56.67
237,44.97,2.47,85.1,3.97,20.3,22.27,26.83,16.15,13.48,0.27,87.0,73.0
238,34.17,2.1,92.8,3.3,12.9,19.43,35.87,8.49,7.35,0.28,63.0,79.0
240,39.2,3.03,116.53,4.73,23.93,23.83,28.57,20.66,17.01,0.27,75.33,123.67
241,42.9,2.27,103.13,5.7,18.13,28.23,24.83,19.21,14.03,0.25,76.33,106.33
242,40.37,2.67,107.43,4.2,18.2,23.23,37.0,14.33,11.03,0.25,99.33,53.0
243,44.13,2.57,96.67,0.37,24.93,1.9,28.77,11.15,8.81,0.31,91.33,77.33
245,50.4,2.57,115.97,4.53,19.13,33.67,35.3,13.4,11.36,0.27,105.67,85.67
246,47.33,2.87,92.27,4.53,24.53,23.73,34.1,16.65,14.16,0.22,81.67,126.33
248,41.1,2.77,113.63,4.2,21.4,27.33,28.03,11.98,9.9,0.17,78.67,93.0
249,39.37,2.57,84.77,5.47,14.87,26.5,26.07,10.03,7.97,0.24,67.67,77.0
251,41.77,3.07,114.43,4.77,20.7,29.43,27.63,18.95,13.78,0.27,98.0,74.67
252,46.93,2.0,91.53,4.03,17.53,19.03,30.03,5.89,4.88,0.27,63.33,65.5
253,40.6,2.33,105.03,6.37,16.5,30.17,24.93,16.35,14.3,0.27,75.33,124.33
255,41.37,2.17,87.2,5.93,19.6,22.73,24.07,14.49,12.36,0.24,86.67,96.33
256,39.4,2.97,96.7,5.07,17.73,30.93,18.73,9.44,8.26,0.24,96.0,51.33
257,46.4,2.83,99.43,4.27,28.67,27.57,31.4,19.38,16.72,0.25,88.33,65.67
258,44.2,2.77,111.77,0.4,23.37,2.43,32.77,11.1,9.11,0.26,67.67,78.33
260,37.53,2.47,100.33,3.93,20.6,30.33,24.13,16.96,14.93,0.24,76.0,131.33
261,39.87,2.47,103.43,4.2,20.07,23.77,28.67,12.73,11.21,0.26,77.33,119.33
262,44.43,2.5,99.7,4.5,24.1,26.07,27.4,14.47,12.53,0.25,83.33,121.33
263,44.67,2.6,93.93,4.13,20.07,33.93,26.1,12.47,9.33,0.18,74.0,124.33
264,41.87,2.43,93.77,4.4,21.3,24.97,30.8,13.79,11.26,0.29,85.33,79.67
267,38.17,2.7,110.67,4.17,18.23,19.9,32.4,18.46,16.44,0.28,70.0,129.67
268,35.7,2.17,81.23,2.73,16.1,18.73,32.5,8.02,7.33,0.25,78.67,62.0
